/Users/zacharyreid/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-04 11:45:52,377 - __main__ - INFO - Progress: 2000/4455 fighters processed
2026-03-04 11:47:38,517 - __main__ - INFO - Progress: 2050/4455 fighters processed
2026-03-04 11:49:26,619 - __main__ - INFO - Progress: 2100/4455 fighters processed
2026-03-04 11:51:12,671 - __main__ - INFO - Progress: 2150/4455 fighters processed
2026-03-04 11:52:59,243 - __main__ - INFO - Progress: 2200/4455 fighters processed
2026-03-04 11:54:47,563 - __main__ - INFO - Progress: 2250/4455 fighters processed
2026-03-04 11:56:38,848 - __main__ - INFO - Progress: 2300/4455 fighters processed
2026-03-04 11:58:26,450 - __main__ - INFO - Progress: 2350/4455 fighters processed
2026-03-04 12:00:12,443 - __main__ - INFO - Progress: 2400/4455 fighters processed
2026-03-04 12:02:00,887 - __main__ - INFO - Progress: 2450/4455 fighters processed
2026-03-04 12:03:48,260 - __main__ - INFO - 🏁 MILESTONE: Fighter Career Stats - 2500 completed of 4455
2026-03-04 12:03:48,277 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 12:03:48,277 - __main__ - INFO -    Fighters: 4455 total, 0 with career stats
2026-03-04 12:03:48,278 - __main__ - INFO -    Events: 33
2026-03-04 12:03:48,278 - __main__ - INFO -    Fights: 218
2026-03-04 12:03:48,278 - __main__ - INFO -    Fight Stats: 430
2026-03-04 12:03:48,278 - __main__ - INFO - Progress: 2500/4455 fighters processed
2026-03-04 12:05:40,895 - __main__ - INFO - Progress: 2550/4455 fighters processed
2026-03-04 12:07:32,028 - __main__ - INFO - Progress: 2600/4455 fighters processed
2026-03-04 12:09:25,642 - __main__ - INFO - Progress: 2650/4455 fighters processed
2026-03-04 12:11:18,495 - __main__ - INFO - Progress: 2700/4455 fighters processed
2026-03-04 12:13:06,565 - __main__ - INFO - Progress: 2750/4455 fighters processed
2026-03-04 12:14:56,170 - __main__ - INFO - Progress: 2800/4455 fighters processed
2026-03-04 12:17:09,375 - __main__ - INFO - Progress: 2850/4455 fighters processed
2026-03-04 12:19:23,970 - __main__ - INFO - Progress: 2900/4455 fighters processed
2026-03-04 12:21:34,132 - __main__ - INFO - Progress: 2950/4455 fighters processed
2026-03-04 12:23:27,348 - __main__ - INFO - 🏁 MILESTONE: Fighter Career Stats - 3000 completed of 4455
2026-03-04 12:23:27,363 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 12:23:27,363 - __main__ - INFO -    Fighters: 4455 total, 4 with career stats
2026-03-04 12:23:27,363 - __main__ - INFO -    Events: 33
2026-03-04 12:23:27,363 - __main__ - INFO -    Fights: 218
2026-03-04 12:23:27,363 - __main__ - INFO -    Fight Stats: 430
2026-03-04 12:23:27,364 - __main__ - INFO - Progress: 3000/4455 fighters processed
2026-03-04 12:25:17,579 - __main__ - INFO - Progress: 3050/4455 fighters processed
2026-03-04 12:27:06,311 - __main__ - INFO - Progress: 3100/4455 fighters processed
2026-03-04 12:28:59,072 - __main__ - INFO - Progress: 3150/4455 fighters processed
2026-03-04 12:30:49,360 - __main__ - INFO - Progress: 3200/4455 fighters processed
2026-03-04 12:32:39,549 - __main__ - INFO - Progress: 3250/4455 fighters processed
2026-03-04 12:34:28,030 - __main__ - INFO - Progress: 3300/4455 fighters processed
2026-03-04 12:36:16,813 - __main__ - INFO - Progress: 3350/4455 fighters processed
2026-03-04 12:38:07,721 - __main__ - INFO - Progress: 3400/4455 fighters processed
2026-03-04 12:39:56,539 - __main__ - INFO - Progress: 3450/4455 fighters processed
2026-03-04 12:41:48,032 - __main__ - INFO - 🏁 MILESTONE: Fighter Career Stats - 3500 completed of 4455
2026-03-04 12:41:48,049 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 12:41:48,049 - __main__ - INFO -    Fighters: 4455 total, 4 with career stats
2026-03-04 12:41:48,049 - __main__ - INFO -    Events: 33
2026-03-04 12:41:48,049 - __main__ - INFO -    Fights: 218
2026-03-04 12:41:48,050 - __main__ - INFO -    Fight Stats: 430
2026-03-04 12:41:48,050 - __main__ - INFO - Progress: 3500/4455 fighters processed
2026-03-04 12:43:37,156 - __main__ - INFO - Progress: 3550/4455 fighters processed
2026-03-04 12:45:26,478 - __main__ - INFO - Progress: 3600/4455 fighters processed
2026-03-04 12:47:14,827 - __main__ - INFO - Progress: 3650/4455 fighters processed
2026-03-04 12:49:05,643 - __main__ - INFO - Progress: 3700/4455 fighters processed
2026-03-04 12:50:54,591 - __main__ - INFO - Progress: 3750/4455 fighters processed
2026-03-04 12:52:45,998 - __main__ - INFO - Progress: 3800/4455 fighters processed
2026-03-04 12:54:33,649 - __main__ - INFO - Progress: 3850/4455 fighters processed
2026-03-04 12:56:22,856 - __main__ - INFO - Progress: 3900/4455 fighters processed
2026-03-04 12:58:09,924 - __main__ - INFO - Progress: 3950/4455 fighters processed
2026-03-04 13:00:00,789 - __main__ - INFO - 🏁 MILESTONE: Fighter Career Stats - 4000 completed of 4455
2026-03-04 13:00:00,801 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 13:00:00,802 - __main__ - INFO -    Fighters: 4455 total, 4 with career stats
2026-03-04 13:00:00,802 - __main__ - INFO -    Events: 33
2026-03-04 13:00:00,802 - __main__ - INFO -    Fights: 218
2026-03-04 13:00:00,802 - __main__ - INFO -    Fight Stats: 430
2026-03-04 13:00:00,802 - __main__ - INFO - Progress: 4000/4455 fighters processed
2026-03-04 13:01:47,542 - __main__ - INFO - Progress: 4050/4455 fighters processed
2026-03-04 13:03:37,982 - __main__ - INFO - Progress: 4100/4455 fighters processed
2026-03-04 13:05:50,465 - __main__ - INFO - Progress: 4150/4455 fighters processed
2026-03-04 13:07:43,517 - __main__ - INFO - Progress: 4200/4455 fighters processed
2026-03-04 13:09:29,451 - __main__ - INFO - Progress: 4250/4455 fighters processed
2026-03-04 13:11:17,691 - __main__ - INFO - Progress: 4300/4455 fighters processed
2026-03-04 13:13:03,839 - __main__ - INFO - Progress: 4350/4455 fighters processed
2026-03-04 13:14:50,999 - __main__ - INFO - Progress: 4400/4455 fighters processed
2026-03-04 13:16:39,136 - __main__ - INFO - Progress: 4450/4455 fighters processed
2026-03-04 13:16:48,752 - __main__ - INFO - ✅ Phase 1 Complete - Updated 0 fighters
2026-03-04 13:16:48,752 - __main__ - INFO - 🏁 MILESTONE: PHASE 1 COMPLETE - 0 completed 
2026-03-04 13:16:48,766 - __main__ - INFO - 📊 OVERALL PROGRESS:
